program,rank_in_program,rank_by_mean_score,cell_type,n_cells,n_expressing,prop_expressing,ci_low,ci_high,mean_score,median_score,prop_overall,enrichment
P01_HBB,1,7,ASDC,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.1188997417026096,-0.45556477864583333,0.15421659760331505,2.1614621157104814
P01_HBB,2,28,CD4 Proliferating,12,4,0.3333333333333333,0.13812009109121315,0.6093779111272004,-0.42262395487891297,-0.8684293365478515,0.15421659760331505,2.1614621157104814
P01_HBB,3,26,Plasmablast,13,3,0.23076923076923078,0.08179528718498569,0.5025637594672749,-0.2701184311891213,-0.51014404296875,0.15421659760331505,1.4963968493380257
P01_HBB,4,24,cDC2,119,27,0.226890756302521,0.1608770056348957,0.3099856768501973,-0.16259065259404543,-0.5156836446126302,0.15421659760331505,1.471247322458395
P01_HBB,5,27,cDC1,9,2,0.2222222222222222,0.06322510711784671,0.5474110308930111,-0.3130071788363986,-0.6154557291666667,0.15421659760331505,1.4409747438069878
P01_HBB,6,6,CD8 TCM,133,25,0.18796992481203006,0.13068684795147056,0.26277182520725084,0.13602477238590557,-0.2142242940266927,0.15421659760331505,1.218869614122452
P01_HBB,7,22,CD14 Mono,4705,849,0.1804463336875664,0.16972010182388692,0.19169394740743118,-0.06729085532055651,-0.40104777018229165,0.15421659760331505,1.1700837425535806
P01_HBB,8,21,CD16 Mono,436,77,0.17660550458715596,0.1436807883066279,0.21517910462820294,-0.06724519138307014,-0.41683008829752605,0.15421659760331505,1.145178322773214
P01_HBB,9,2,Platelet,101,17,0.16831683168316833,0.10782774555411628,0.2531120891863824,0.34436435359539375,-0.10025259017944337,0.15421659760331505,1.0914313653587582
P01_HBB,10,23,pDC,44,7,0.1590909090909091,0.0792667701220125,0.29366205062240613,-0.11825916030190205,-0.5091057840983073,0.15421659760331505,1.0316069188618207
P01_HBB,11,3,Treg,390,62,0.15897435897435896,0.1260354606336277,0.19856586296368572,0.16992965271941618,-0.19812050501505535,0.15421659760331505,1.0308511628773065
P01_HBB,12,4,NK,1554,247,0.15894465894465895,0.14161013030510522,0.17796119449296915,0.15021036696505619,-0.24105628967285156,0.15421659760331505,1.0306585764102103
P01_HBB,13,8,B memory,164,26,0.15853658536585366,0.11054568594148567,0.2221579214571478,0.1068802065190261,-0.20434733072916667,0.15421659760331505,1.0280124696671804
P01_HBB,14,15,dnT,57,9,0.15789473684210525,0.0853579597035527,0.2736317694063802,0.049277054636101984,-0.21085521697998047,0.15421659760331505,1.0238504758628597
P01_HBB,15,5,CD8 Naive,682,104,0.15249266862170088,0.12746380835179696,0.18141436764088212,0.14494043356745356,-0.20022041956583658,0.15421659760331505,0.9888213784481968
P01_HBB,16,11,B intermediate,316,48,0.1518987341772152,0.11652281715732783,0.19563639818900447,0.08702935417996178,-0.2421488825480143,0.15421659760331505,0.9849700780452828
