program,rank_in_program,rank_by_mean_score,cell_type,n_cells,n_expressing,prop_expressing,ci_low,ci_high,mean_score,median_score,prop_overall,enrichment
P01_HLA-A,1,1,Treg,662,662,1.0,0.9942306704249119,1.0,4.851172087631917,4.911791992187499,0.9806168185461129,1.0197663155345684
P01_HLA-A,2,2,IFN T cell,70,70,1.0,0.9479769375897331,1.0,4.816948165893555,4.857420603434244,0.9806168185461129,1.0197663155345684
P01_HLA-A,3,3,Cytotoxic T cell,527,527,1.0,0.9927634536510613,0.9999999999999999,4.697381086065978,4.77510732014974,0.9806168185461129,1.0197663155345684
P01_HLA-A,4,5,Tc17 cell,459,459,1.0,0.9917002706920811,1.0,4.220933373976896,4.293474833170572,0.9806168185461129,1.0197663155345684
P01_HLA-A,5,6,Naive T cell,1154,1154,1.0,0.9966822238127431,1.0,4.166815681832158,4.267871475219726,0.9806168185461129,1.0197663155345684
P01_HLA-A,6,7,yd T cell,168,168,1.0,0.9776453316501321,1.0,4.135592627903772,4.183100001017253,0.9806168185461129,1.0197663155345684
P01_HLA-A,7,9,cDC1,84,84,1.0,0.95626827158534,0.9999999999999999,4.055915878689478,4.145601526896159,0.9806168185461129,1.0197663155345684
P01_HLA-A,8,10,CD16+ DC,58,58,1.0,0.9378821442127971,1.0,3.8383042806866525,3.6831386566162108,0.9806168185461129,1.0197663155345684
P01_HLA-A,9,11,cDC2A,87,87,1.0,0.9577124930558795,0.9999999999999999,3.776861307721484,3.79804941813151,0.9806168185461129,1.0197663155345684
P01_HLA-A,10,8,Endothelial,3734,3731,0.999196572040707,0.9976403490901465,0.9997267252148726,4.122157663703923,4.099087905883788,0.9806168185461129,1.0189470067647226
P01_HLA-A,11,4,Stressed T cell,1428,1425,0.9978991596638656,0.9938414387927151,0.9992852731347354,4.288953630396632,4.4206690470377605,0.9806168185461129,1.0176239493254622
P01_HLA-A,12,12,cDC2B,755,753,0.9973509933774835,0.9903932927382404,0.9992732459971625,3.329216413561082,3.318607076009115,0.9806168185461129,1.017064947811298
P01_HLA-A,13,18,Basal Keratinocyte,11715,11647,0.9941954758856167,0.992648583019526,0.9954183722923886,2.149654957962199,2.1493502298990883,0.9806168185461129,1.0138470573650122
P01_HLA-A,14,19,Spinous Keratinocyte,26018,25843,0.9932738873087862,0.9922052957808581,0.994196840310062,2.031787643801116,1.9870067596435548,0.9806168185461129,1.012907252377579
P01_HLA-A,15,17,LC,326,321,0.9846625766871165,0.9646045844105777,0.9934314403202658,2.3579890387677462,2.422838083902995,0.9806168185461129,1.0041257278729951
P01_HLA-A,16,16,SFRP2+ Fibroblast,7882,7719,0.9793199695508754,0.9759368531086411,0.9822361002098977,2.621523903755834,2.683735529581705,0.9806168185461129,0.998677517078322
P01_HLA-A,17,22,Supraspinous Keratinocyte,4190,4097,0.9778042959427208,0.9728865688570103,0.9818467083341409,1.6785113731602779,1.6562901814778646,0.9806168185461129,0.9971318841873811
P01_HLA-A,18,15,Melanocyte,1987,1917,0.964771011575239,0.9557264358407243,0.9720219751724255,2.698034722651837,2.879118601481119,0.9806168185461129,0.9838409798086399
P01_HLA-A,19,14,Smooth muscle,3356,3210,0.9564958283671037,0.9490566139032985,0.9628911781438492,2.8490493143177904,3.0416010538736975,0.9806168185461129,0.9754022267181062
P01_HLA-A,20,13,PVM,126,120,0.9523809523809523,0.8999983205231048,0.9779955116120489,2.9299362800739424,3.186462465922038,0.9806168185461129,0.9712060147948269
P01_HLA-A,21,20,RAMP1+ Fibroblast,131,119,0.9083969465648855,0.8467026143464803,0.9468218768286233,1.9928170524480688,2.0811233520507812,0.9806168185461129,0.9263526072413254
P01_HLA-A,22,24,COL11A1+ Fibroblast,1097,992,0.9042844120328167,0.8854372770057295,0.9203099928601988,1.664425997964447,1.75403315226237,0.9806168185461129,0.9221587830540491
P01_HLA-A,23,23,SFRP4+ Fibroblast,217,194,0.8940092165898618,0.845982366652012,0.9283287654748525,1.678141702191987,1.7319222768147782,0.9806168185461129,0.9116804848557892
P01_HLA-A,24,21,Nerve cell,268,202,0.753731343283582,0.6988047481484472,0.8014868578118681,1.77495506746852,1.8263937632242837,0.9806168185461129,0.7686298348432195
P01_HLA-A,25,25,Mast cell,563,422,0.7495559502664298,0.7121569828760949,0.7835724589763354,1.5723672243460458,1.3525046030680339,0.9806168185461129,0.7643719096902094
P01_HLA-A,26,26,Eccrine gland,316,91,0.2879746835443038,0.24083034224550665,0.3402120889199866,-0.7549172179105412,-0.9020245552062989,0.9806168185461129,0.29366688200520796
P02_MT2A,1,2,Melanocyte,1987,1839,0.9255158530447911,0.9131323029651783,0.9362572817794002,1.7467214221407195,1.661384906768799,0.561667012971593,1.6478016897381869
