reason,n_genes,first_genes
too_small,2,"GZMA, CCL5"
too_small,2,"FHDC1, BSPRY"
too_small,2,"HSPA1A, HSPA1B"
too_small,2,"C2CD2L, XRCC3"
too_small,2,"ASH1L-AS1, OTX1"
too_small,2,"RP11-557H15.3, CDK1"
too_small,2,"OGN, COCH"
too_small,2,"RBP7, GPIHBP1"
too_small,2,"MBP, PRX"
too_small,2,"COL4A1, COL4A2"
too_small,2,"MDK, MMP11"
too_small,2,"EGR2, ZNF287"
too_large,52,"TINAGL1, NEXN, RGS5, CSRP1"
too_large,279,"MIB2, HES2, CTNNBIP1, EPHA2"
too_large,121,"MXRA8, MMP23B, MFAP2, PLA2G2A"
too_large,99,"HSPG2, FAM110D, TIE1, ADGRL4"
too_large,211,"SRM, WNT4, RPL11, ZNF593"
