rank,program,n_genes,median_ids,q25_ids,mean_ids,min_pair_ids,density,recurrence,genes
1,P01_HLA-A,5,0.6288651167121575,0.46288022357362896,0.585835147364837,0.3759982900721587,0.7,,"HLA-A, HLA-E, HLA-C, HLA-B, B2M"
2,P02_MT2A,3,0.5616792553958085,0.5455253797063384,0.5563393573228305,0.5293715040168683,1.0,,"MT2A, MT1M, MT1A"
3,P03_PROX1,5,0.5610958215237599,0.4929095604054249,0.586950516426422,0.3638008123950452,0.7,,"PROX1, TFPI, MMRN1, CCL21, TFF3"
4,P04_MT-ND1,9,0.5270008396946992,0.4455924321098664,0.5077511272639138,0.21172913879958466,0.6666666666666666,,"MT-ND1, MT-ND2, MT-CO1, MT-CO2, MT-ATP6, MT-CO3, MT-ND3, MT-ND4, MT-CYB"
5,P05_PNPLA1,3,0.5013351498679747,0.473329614964845,0.5976837521810545,0.4453240800617153,0.6666666666666666,,"PNPLA1, HOXC13, HOMER2"
6,P06_FCER1G,16,0.4774246628754256,0.398066415111797,0.5099170343076269,0.21703969242986518,0.4666666666666667,,"FCER1G, CAPG, GATA2, CPA3, HPGDS, HPGD, LTC4S, SERPINB1, ANXA1, VWA5A, CTSG, LGALS3, TPSB2, TPSAB1, H3F3B, SAMSN1"
7,P07_COL11A1,9,0.4413575725423119,0.41037151151089946,0.46201743207311224,0.2999272110531571,0.3333333333333333,,"COL11A1, FGFBP2, UGT3A2, HAPLN1, TNMD, GPC3, RBP4, MFAP5, DPEP1"
8,P08_CHI3L1,10,0.43650205106230866,0.025540169091784325,0.36375759480111713,0.012177133896871398,0.4,,"CHI3L1, C2orf54, COBL, SCGB2A2, KRT7, DCD, MUCL1, NXPH4, SOX9, SCGB1B2P"
9,P09_TNFRSF18,46,0.39556823059235846,0.3378466918620221,0.4067574610219692,0.1392011794189438,0.16135265700483092,,"TNFRSF18, TNFRSF4, CD52, LAPTM5, LCK, CD53, CD2, CD48, CD247, PTPRC, TRAF3IP3, CXCR4, STK17B, FYB, LTB, ACTB, TRBC1, TRBC2, IL2RG, SIT1, CD6, TBC1D10C, CD3E, CD3D, CD3G, SRGN, SPOCK2, CD27, CD69, ALOX5AP, GPR183, TRAC, BATF, IL32, LAT, CORO1A, COTL1, ACAP1, EVI2B, CD7, CST7, FXYD5, HCST, CD37, RAC2, ITGB2"
10,P10_QPCT,10,0.3622374551509942,0.31291746172673246,0.3955432365969955,0.25099202880835014,0.2222222222222222,,"QPCT, MITF, CHCHD6, SNCA, GMPR, GPR143, PLP1, CYB561A3, PMEL, OCA2"
