program,top_cell_type,top_prop,top_n_cells,gap_to_second,second_cell_type,median_prop_across_types,top_enrichment,n_tied_at_top_prop,saturated,top_by_mean_score,top_mean_score,agree,specific
P09_TNFRSF18,Treg,1.0,662,0.0,Tc17 cell,0.08030211603262527,9.440661342300686,7,True,Treg,3.4155720207604,True,True
P07_COL11A1,RAMP1+ Fibroblast,0.9312977099236641,131,0.017897527608258468,COL11A1+ Fibroblast,0.02559774725635163,8.333197489938465,1,False,COL11A1+ Fibroblast,2.1909769193725026,False,True
P03_PROX1,SFRP4+ Fibroblast,0.6728110599078341,217,0.1521897422859808,Endothelial,0.031152571997642417,4.97614309489243,1,False,Endothelial,1.1958603283797817,False,True
P05_PNPLA1,Supraspinous Keratinocyte,0.6749403341288783,4190,0.3648137518503973,Eccrine gland,0.02320940968842668,4.101382560690437,1,False,Supraspinous Keratinocyte,0.923119152755707,True,True
P10_QPCT,Melanocyte,0.9989934574735783,1987,0.07362032314522005,Nerve cell,0.21918913146120467,4.066343332184785,1,False,Melanocyte,4.897217838741553,True,True
P08_CHI3L1,Eccrine gland,0.9082278481012658,316,0.09629467387692214,Supraspinous Keratinocyte,0.10737445999235196,2.5631235999734905,1,False,Eccrine gland,2.81406362976203,True,True
P02_MT2A,Melanocyte,0.9255158530447911,1987,0.03278641323549436,Smooth muscle,0.5521143215480293,1.6478016897381869,1,False,Smooth muscle,2.2232855263540654,False,True
P06_FCER1G,Mast cell,1.0,563,0.0013245033112583293,cDC2B,0.9740896358543417,1.0375902798096617,1,False,Mast cell,5.637835342748487,True,False
P01_HLA-A,Treg,1.0,662,0.0,Cytotoxic T cell,0.9819912731189959,1.0197663155345684,5,True,Treg,4.851172087631917,True,False
P04_MT-ND1,PVM,1.0,126,0.0,Cytotoxic T cell,0.997095067834375,1.006317676051079,6,True,PVM,6.695909760431943,True,False
